Time(s),LINEAR ACCELERATION X (m/s2),LINEAR ACCELERATION Y (m/s2),LINEAR ACCELERATION Z (m/s2)
150510,-8.00E-04,-0.0038,-0.0032
151011,0.0158,-0.011,-0.0063
151510,-0.0022,-0.0383,-0.0012
152012,0.0082,-0.004,-0.0079
152511,3.00E-04,-0.0059,-0.0024
153012,0.0025,-0.0099,0
153511,-0.1353,0.0026,-4.00E-04
154011,-0.025,-0.0284,-0.0054
154513,-0.0134,-0.0021,0.0052
155012,-0.0037,-0.0015,0.0027
155510,0.0016,-0.0212,-0.0084
156009,-0.0086,0.0061,0.0076
156511,0.0295,0.0317,-0.0023
157011,0.0086,-0.0347,-0.0917
157510,-0.0065,0.0073,0.0091
158009,0.0081,-0.0036,2.00E-04
158510,0.0144,-0.0287,-0.0105
159013,0.0179,-0.0271,2.00E-04
159510,-0.0089,0.03,0.0103
160011,-0.006,0.006,0.0043
160511,-0.0035,-0.0108,-0.0042
161012,-0.0043,0.0417,0.0029
161510,-0.0096,-0.0176,0.0026
162011,-9.00E-04,-0.0035,0.003
162511,-0.0531,0.0201,0.0127
163010,-0.0037,-0.0324,0.0154
163511,0.0078,0.0224,-0.0023
164010,-0.005,0.0043,-0.0018
164510,0.0021,0.006,-0.0041
165010,-0.007,-0.0109,0.0058
165511,-0.0014,-0.017,-2.00E-04
166011,-0.0011,0.0231,0.005
166511,-0.0063,0.0355,0.0048
167011,0.0078,-0.0255,-0.012
167510,-0.0079,-0.0122,-0.0056
168010,-0.0017,0.0282,-0.0044
168511,-0.0174,0.0052,0.0028
169012,0.0171,-0.0208,-0.0053
169510,-0.0136,-0.0048,0.0032
170011,0.0073,0.0299,-0.004
170511,0.0176,0.0017,-0.002
171012,-0.0206,-0.0154,0.012
171511,0.0252,0.0038,-0.0043
172011,-0.0133,4.00E-04,0.0056
172510,-0.0052,-0.0026,0
173010,0.0027,0.0136,0.0029
173511,-0.0042,0.023,0.0051
174012,-0.0017,-0.0044,5.00E-04
174510,-0.0042,-0.0088,-3.00E-04
175011,0.0116,0.0063,-0.008
175511,-0.0068,-0.0022,0.0032
176009,-0.0022,-0.0082,-8.00E-04
176510,0.0032,-0.0038,-0.0049
177011,0.0079,0.0096,0.0011
177512,0.0082,0.0075,-5.00E-04
178012,0.0156,-0.0074,-0.005
178512,-0.0202,-0.0563,0.0055
179012,0.0176,-0.0113,-0.0129
179510,0.0048,0.0181,0.0025
180010,-0.0086,-0.0242,0.0041
180510,0.0071,-0.0068,-0.0067
181012,-0.0021,-0.0024,0.0022
181511,0.0043,0.0055,-0.0135
182012,-0.0037,0.0059,0.0014
182512,0.0042,-0.0013,-0.0035
183011,0.0107,-0.0064,4.00E-04
183511,-0.0015,0.0018,-0.0043
184010,9.00E-04,-0.012,-0.041
184511,-0.0054,-0.0025,0.0054
185011,0.001,-0.0028,0.002
185509,-0.0079,0.0029,0.0038
186011,0.001,-0.0043,0.0012
186511,-2.00E-04,-6.00E-04,-2.00E-04
187012,-0.0017,0.0041,7.00E-04
187511,0.0011,-0.0063,0.0015
188012,7.00E-04,-0.0329,0.0027
188510,0.0086,0.0156,3.00E-04
189012,-0.0099,0.0217,0.0055
189511,0.0133,-0.0195,-2.00E-04
190012,0.0077,0.0061,-0.0045
190510,-0.0036,0.0021,0.0022
191012,0.0123,-0.0064,-3.00E-04
191510,0.0036,-0.0083,0.0044
192011,-0.0275,-0.0279,0.0049
192510,-0.1204,-1.0953,0.978
193009,1.5487,0.6431,0.6018
193511,-0.5813,-0.0016,0.7075
194009,-0.5106,0.3091,1.2968
194509,0.1755,0.3231,-0.6299
195010,-0.3521,0.1564,-0.2333
195509,0.0362,0.2041,0.399
